timestamp_of_entry,timestamp_of_exit,entry_price,target_price,stop_price,type_of_exit,pnl
2019-04-02 12:39:00,2019-04-02 13:14:00,428200.0,428500.0,427900.0,Loss,-3000.0
2019-04-02 12:40:00,2019-04-02 13:07:00,428100.0,428400.0,427800.0,Win,3000.0
2019-04-02 12:41:00,2019-04-02 13:14:00,428200.0,428500.0,427900.0,Loss,-3000.0
2019-04-02 12:42:00,2019-04-02 13:13:00,428300.0,428600.0,428000.0,Loss,-3000.0
2019-04-02 12:43:00,2019-04-02 13:14:00,428200.0,428500.0,427900.0,Loss,-3000.0
2019-04-02 12:44:00,2019-04-02 13:14:00,428200.0,428500.0,427900.0,Loss,-3000.0
2019-04-02 12:45:00,2019-04-02 13:14:00,428200.0,428500.0,427900.0,Loss,-3000.0
2019-04-02 12:46:00,2019-04-02 13:14:00,428200.0,428500.0,427900.0,Loss,-3000.0
2019-04-02 12:52:00,2019-04-02 13:13:00,428300.0,428600.0,428000.0,Loss,-3000.0
2019-04-02 12:54:00,2019-04-02 13:14:00,428200.0,428500.0,427900.0,Loss,-3000.0
2019-04-02 12:55:00,2019-04-02 13:13:00,428300.0,428600.0,428000.0,Loss,-3000.0
2019-04-02 13:01:00,2019-04-02 13:13:00,428300.0,428600.0,428000.0,Loss,-3000.0
2019-04-02 13:02:00,2019-04-02 13:13:00,428300.0,428600.0,428000.0,Loss,-3000.0
2019-04-02 13:10:00,2019-04-02 13:13:00,428300.0,428600.0,428000.0,Loss,-3000.0
2019-04-02 13:11:00,2019-04-02 13:13:00,428300.0,428600.0,428000.0,Loss,-3000.0
2019-04-02 13:12:00,2019-04-02 13:27:00,428100.0,428400.0,427800.0,Win,3000.0
2019-04-02 13:27:00,2019-04-02 13:32:00,428200.0,428500.0,427900.0,Loss,-3000.0
2019-04-02 13:28:00,2019-04-02 13:32:00,428200.0,428500.0,427900.0,Loss,-3000.0
2019-04-02 13:53:00,2019-04-02 14:07:00,428200.0,428500.0,427900.0,Win,4000.0
